年份,甲,名,姓名,省,府,州县,坐标,longitude,latitude
1844,3,32,林芝龄,广西,浔州府,贵县,"109.572270,23.111464",109.57227,23.111464
1844,3,33,施绍文,广西,南宁府,横州,"109.261409,22.680093",109.261409,22.680093
1844,3,58,戴臣法,广西,桂林府,临桂县,"110.291051,25.274364",110.291051,25.274364
1845,2,96,林廷选,广西,浔州府,贵县,"109.572280,23.111474",109.57228,23.111474
1845,3,5,陈应台,广西,平乐府,荔浦县,"110.395263,24.487773",110.395263,24.487773
1845,3,62,莫炽,广西,平乐府,荔浦县,"110.395273,24.487783",110.395273,24.487783
1845,3,97,唐守道,广西,桂林府,灵川县,"110.390139,25.466211",110.390139,25.466211
1847,2,68,朱寿康,广西,桂林府,临桂县,"110.291061,25.274374",110.291061,25.274374
1847,2,74,李士瑞,广西,郁林州,北流县,"110.354440,22.708336",110.35444,22.708336
1847,2,77,栗增熉,广西,桂林府,临桂县,"110.291071,25.274384",110.291071,25.274384
1847,2,96,张培仁,广西,平乐府,贺县,"111.661147,24.328882",111.661147,24.328882
1847,2,100,黄金韶,广西,梧州府,容县,"110.557928,22.857816",110.557928,22.857816
1847,3,55,蒋培,广西,桂林府,全州,"111.073228,25.929007",111.073228,25.929007
1847,3,113,袁铨,广西,浔州府,平南县,"110.392189,23.539177",110.392189,23.539177
1850,2,85,何元恺,广西,平乐府,平乐县,"110.643425,24.633482",110.643425,24.633482
1850,3,35,徐步云,广西,桂林府,临桂县,"110.291081,25.274394",110.291081,25.274394
1850,3,46,周必超,广西,桂林府,临桂县,"110.291091,25.274404",110.291091,25.274404
1850,3,49,黎树桢,广西,浔州府,平南县,"110.392199,23.539187",110.392199,23.539187
1850,3,56,秦镇藩,广西,桂林府,义宁县,"110.069665,25.375613",110.069665,25.375613
1850,3,74,陈继仁,广西,桂林府,临桂县,"110.291101,25.274414",110.291101,25.274414
1850,3,96,李际昌,广西,桂林府,灵川县,"110.390149,25.466221",110.390149,25.466221
1850,2,26,杜寿朋,广西,南宁府,宣化县,"108.365721,22.817731",108.365721,22.817731
1850,2,35,周瑞清,广西,桂林府,临桂县,"110.291111,25.274424",110.291111,25.274424
1850,2,48,周益,广西,桂林府,临桂县,"110.291121,25.274434",110.291121,25.274434
1850,2,69,刘绍向,广西,桂林府,临桂县,"110.291131,25.274444",110.291131,25.274444
1850,2,71,唐启荫,广西,桂林府,临桂县,"110.291141,25.274454",110.291141,25.274454
1850,3,36,邓开运,广西,桂林府,临桂县,"110.291151,25.274464",110.291151,25.274464
1850,3,73,杨久佑,广西,桂林府,兴安县,"110.671691,25.611619",110.671691,25.611619
1852,2,6,蒋英元,广西,桂林府,全州,"111.073238,25.929017",111.073238,25.929017
1852,2,62,陆仁恬,广西,桂林府,临桂县,"110.291161,25.274474",110.291161,25.274474
1852,2,105,朱缃,广西,桂林府,临桂县,"110.291171,25.274484",110.291171,25.274484
1852,3,70,叶灿章,广西,梧州府,岑溪县,"110.994913,22.918350",110.994913,22.91835
1852,3,74,明之纲,广西,梧州府,苍梧县,"111.320585,23.473149",111.320585,23.473149
1853,2,63,雷瑞光,广西,南宁府,宣化县,"108.365731,22.817741",108.365731,22.817741
1853,2,92,靳邦庆,广西,桂林府,临桂县,"110.291181,25.274494",110.291181,25.274494
1853,3,10,陆汝黼,广西,桂林府,灌阳县,"111.160811,25.489422",111.160811,25.489422
1853,3,21,陈秀芝,广西,桂林府,兴安县,"110.671701,25.611629",110.671701,25.611629
1853,3,28,封蔚礽,广西,梧州府,容县,"110.557938,22.857826",110.557938,22.857826
1853,3,51,邓国光,广西,梧州府,藤县,"110.914633,23.374513",110.914633,23.374513
1856,2,61,刘昭文,广西,桂林府,临桂县,"110.291191,25.274504",110.291191,25.274504
1856,3,78,黄湛昌,广西,桂林府,临桂县,"110.291201,25.274514",110.291201,25.274514
1860,2,17,周干臣,广西,桂林府,临桂县,"110.291211,25.274524",110.291211,25.274524
1860,3,14,王耀文,广西,桂林府,临桂县,"110.291221,25.274534",110.291221,25.274534
1860,3,27,文宗欧,广西,桂林府,灌阳县,"111.160821,25.489432",111.160821,25.489432
1860,3,34,黄善福,广西,桂林府,灵川县,"110.390159,25.466231",110.390159,25.466231
1860,3,68,周冠,广西,桂林府,灵川县,"110.390169,25.466241",110.390169,25.466241
1862,2,18,周德润,广西,桂林府,临桂县,"110.291231,25.274544",110.291231,25.274544
1862,2,26,唐国翰,广西,桂林府,临桂县,"110.291241,25.274554",110.291241,25.274554
1862,3,3,况桂森,广西,桂林府,临桂县,"110.291251,25.274564",110.291251,25.274564
1862,3,26,李士琨,广西,郁林州,北流县,"110.354450,22.708346",110.35445,22.708346
1862,3,54,徐登云,广西,桂林府,临桂县,"110.291261,25.274574",110.291261,25.274574
1862,3,59,刘泽远,广西,桂林府,临桂县,"110.291271,25.274584",110.291271,25.274584
1862,3,64,萧开荣,广西,平乐府,平乐县,"110.643435,24.633492",110.643435,24.633492
1862,3,114,王尔琨,广西,桂林府,永福县,"109.983146,24.979764",109.983146,24.979764
1863,2,23,谢树棠,广西,桂林府,临桂县,"110.291281,25.274594",110.291281,25.274594
1863,2,27,周维翰,广西,桂林府,临桂县,"110.291291,25.274604",110.291291,25.274604
1863,2,65,刘曾,广西,桂林府,临桂县,"110.291301,25.274614",110.291301,25.274614
1863,2,75,李璲,广西,梧州府,苍梧县,"111.320595,23.473159",111.320595,23.473159
1863,3,29,杨钧培,广西,浔州府,桂平县,"110.079514,23.394337",110.079514,23.394337
1863,3,30,汤献祥,广西,桂林府,灵川县,"110.390179,25.466251",110.390179,25.466251
1863,3,47,谭子中,广西,镇安府,奉议州,"106.886700,23.717400",106.8867,23.7174
1863,3,62,文翰,广西,桂林府,临桂县,"110.291311,25.274624",110.291311,25.274624
1863,3,63,卓诚,广西,梧州府,藤县,"110.914643,23.374523",110.914643,23.374523
1863,3,70,周杰,广西,桂林府,灵川县,"110.390189,25.466261",110.390189,25.466261
1863,3,94,马学培,广西,柳州府,马平县,"109.410825,24.315498",109.410825,24.315498
1865,1,2,于建章,广西,桂林府,临桂县,"110.291321,25.274634",110.291321,25.274634
1865,2,5,韦业祥,广西,桂林府,永宁州,"109.771586,25.156081",109.771586,25.156081
1865,2,8,唐景崧,广西,桂林府,灌阳县,"111.160831,25.489442",111.160831,25.489442
1865,2,54,陆炳然,广西,平乐府,平乐县,"110.643445,24.633502",110.643445,24.633502
1865,3,9,周廷揆,广西,桂林府,灵川县,"110.390199,25.466271",110.390199,25.466271
1865,3,16,陈衍昌,广西,桂林府,临桂县,"110.291331,25.274644",110.291331,25.274644
1865,3,66,杨超元,广西,浔州府,桂平县,"110.079524,23.394347",110.079524,23.394347
1865,3,67,赵德麟,广西,桂林府,灵川县,"110.390209,25.466281",110.390209,25.466281
1865,3,124,阮调元,广西,郁林州,陆川县,"110.264061,22.320983",110.264061,22.320983
1868,2,23,周璜,广西,桂林府,临桂县,"110.291341,25.274654",110.291341,25.274654
1868,2,38,施廷弼,广西,南宁府,横州,"109.261419,22.680103",109.261419,22.680103
1868,2,44,秦钟简,广西,桂林府,灵川县,"110.390219,25.466291",110.390219,25.466291
1868,2,94,胡功祁,广西,桂林府,临桂县,"110.291351,25.274664",110.291351,25.274664
1868,3,5,苏汝恒,广西,桂林府,灵川县,"110.390229,25.466301",110.390229,25.466301
1868,3,34,阳肇先,广西,桂林府,灵川县,"110.390239,25.466311",110.390239,25.466311
1868,3,50,王必名,广西,桂林府,临桂县,"110.291361,25.274674",110.291361,25.274674
1868,3,65,邓明,广西,桂林府,临桂县,"110.291371,25.274684",110.291371,25.274684
1868,3,90,熊凤仪,广西,桂林府,临桂县,"110.291381,25.274694",110.291381,25.274694
1871,2,8,谢元福,广西,桂林府,临桂县,"110.291391,25.274704",110.291391,25.274704
1871,2,14,曹驯,广西,桂林府,临桂县,"110.291401,25.274714",110.291401,25.274714
1871,2,50,张瑄,广西,桂林府,临桂县,"110.291411,25.274724",110.291411,25.274724
1871,2,63,唐景崇,广西,桂林府,灌阳县,"111.160841,25.489452",111.160841,25.489452
1871,2,120,张永熙,广西,桂林府,灵川县,"110.390249,25.466321",110.390249,25.466321
1871,3,27,杨成章,广西,桂林府,灵川县,"110.390259,25.466331",110.390259,25.466331
1871,3,53,丁墉,广西,桂林府,临桂县,"110.291421,25.274734",110.291421,25.274734
1871,3,72,林兆南,广西,梧州府,苍梧县,"111.320605,23.473169",111.320605,23.473169
1871,3,93,赵炳埔,广西,桂林府,临桂县,"110.291431,25.274744",110.291431,25.274744
1871,3,97,唐光圻,广西,桂林府,全州,"111.073248,25.929027",111.073248,25.929027
1871,3,160,苏超才,广西,思恩府,武缘县,"108.274800,23.158578",108.2748,23.158578
1871,3,162,徐步月,广西,平乐府,荔浦县,"110.395283,24.487793",110.395283,24.487793
1871,3,176,赵文粹,广西,桂林府,永宁州,"109.771596,25.156091",109.771596,25.156091
1874,2,52,梁廷栋,广西,梧州府,苍梧县,"111.320615,23.473179",111.320615,23.473179
1874,2,72,靳元瑞,广西,桂林府,临桂县,"110.291441,25.274754",110.291441,25.274754
1874,2,108,石成峰,广西,桂林府,临桂县,"110.291451,25.274764",110.291451,25.274764
1874,2,121,吴锡璋,广西,桂林府,临桂县,"110.291461,25.274774",110.291461,25.274774
1874,3,32,杨怀震,广西,南宁府,永淳县,"108.924494,22.798005",108.924494,22.798005
1874,3,60,高继光,广西,梧州府,岑溪县,"110.994923,22.918360",110.994923,22.91836
1874,3,63,刘本植,广西,桂林府,临桂县,"110.291471,25.274784",110.291471,25.274784
1874,3,104,许寿甡,广西,梧州府,苍梧县,"111.320625,23.473189",111.320625,23.473189
1874,3,108,唐德俊,广西,桂林府,灵川县,"110.390269,25.466341",110.390269,25.466341
1874,3,116,钟懿蓉,广西,梧州府,苍梧县,"111.320635,23.473199",111.320635,23.473199
1874,3,119,梁嵘椿,广西,梧州府,苍梧县,"111.320645,23.473209",111.320645,23.473209
1874,3,149,刘发岐,广西,桂林府,全州,"111.073258,25.929037",111.073258,25.929037
1874,3,189,王维翰,广西,桂林府,临桂县,"110.291481,25.274794",110.291481,25.274794
1876,2,8,唐椿森,广西,南宁府,宣化县,"108.365741,22.817751",108.365741,22.817751
1876,2,61,刘宗标,广西,平乐府,贺县,"111.661157,24.328892",111.661157,24.328892
1876,2,77,钟德祥,广西,南宁府,宣化县,"108.365751,22.817761",108.365751,22.817761
1876,2,153,严钦,广西,梧州府,岑溪县,"110.994933,22.918370",110.994933,22.91837
1876,3,27,张仲良,广西,桂林府,临桂县,"110.291491,25.274804",110.291491,25.274804
1876,3,41,蒋元杰,广西,桂林府,全州,"111.073268,25.929047",111.073268,25.929047
1876,3,56,龙朝言,广西,桂林府,临桂县,"110.291501,25.274814",110.291501,25.274814
1876,3,108,马,广西,桂林府,临桂县,"110.291511,25.274824",110.291511,25.274824
1876,3,117,傅超衡,广西,桂林府,临桂县,"110.291521,25.274834",110.291521,25.274834
1876,3,138,杨超松,广西,梧州府,岑溪县,"110.994943,22.918380",110.994943,22.91838
1876,3,139,谭维铎,广西,梧州府,苍梧县,"111.320655,23.473219",111.320655,23.473219
1876,3,154,邵谦和,广西,梧州府,苍梧县,"111.320665,23.473229",111.320665,23.473229
1876,3,155,李日章,广西,柳州府,象州,"109.683928,23.958554",109.683928,23.958554
1877,2,4,唐景崶,广西,桂林府,灌阳县,"111.160851,25.489462",111.160851,25.489462
1877,2,86,覃梦榕,广西,桂林府,阳朔县,"110.496603,24.778491",110.496603,24.778491
1877,2,92,林翰清,广西,浔州府,贵县,"109.572290,23.111484",109.57229,23.111484
1877,2,124,李庆云,广西,郁林州,陆川县,"110.264071,22.320993",110.264071,22.320993
1877,3,84,关广槐,广西,梧州府,苍梧县,"111.320675,23.473239",111.320675,23.473239
1877,3,88,梁瑞祥,广西,浔州府,贵县,"109.572300,23.111494",109.5723,23.111494
1877,3,95,杨泳春,广西,桂林府,临桂县,"110.291531,25.274844",110.291531,25.274844
1877,3,117,许钟岳,广西,桂林府,兴安县,"110.671711,25.611639",110.671711,25.611639
1877,3,128,黄维清,广西,梧州府,怀集县,"112.184525,23.911893",112.184525,23.911893
1877,3,148,林乃柽,广西,浔州府,贵县,"109.572310,23.111504",109.57231,23.111504
1877,3,186,茹庆铨,广西,梧州府,苍梧县,"111.320685,23.473249",111.320685,23.473249
1877,3,190,谢煌,广西,南宁府,宣化县,"108.365761,22.817771",108.365761,22.817771
1880,2,40,胡连,广西,桂林府,永福县,"109.983156,24.979774",109.983156,24.979774
1880,2,49,于式枚,广西,平乐府,贺县,"111.661167,24.328902",111.661167,24.328902
1880,2,56,黄俊熙,广西,桂林府,临桂县,"110.291541,25.274854",110.291541,25.274854
1880,2,78,刘名誉,广西,桂林府,临桂县,"110.291551,25.274864",110.291551,25.274864
1880,2,83,林承泽,广西,桂林府,临桂县,"110.291561,25.274874",110.291561,25.274874
1880,2,89,谢启华,广西,桂林府,临桂县,"110.291571,25.274884",110.291571,25.274884
1880,2,110,张悼奎,广西,太平府,龙州厅,"106.854386,22.342781",106.854386,22.342781
1880,2,122,蔡揆忠,广西,太平府,永康州,"107.803730,22.809230",107.80373,22.80923
1880,2,125,赵文伟,广西,桂林府,永宁州,"109.771606,25.156101",109.771606,25.156101
1880,3,1,封祝唐,广西,梧州府,容县,"110.557948,22.857836",110.557948,22.857836
1880,3,9,石鸿韶,广西,柳州府,象州,"109.683938,23.958564",109.683938,23.958564
1880,3,22,卢煦春,广西,桂林府,临桂县,"110.291581,25.274894",110.291581,25.274894
1880,3,69,朱方辉,广西,浔州府,平南县,"110.392209,23.539197",110.392209,23.539197
1880,3,92,莫燮干,广西,浔州府,平南县,"110.392219,23.539207",110.392219,23.539207
1883,2,87,骆景宙,广西,梧州府,容县,"110.557958,22.857846",110.557958,22.857846
1883,2,108,左盛均,广西,桂林府,临桂县,"110.291591,25.274904",110.291591,25.274904
1883,3,40,雷祖迪,广西,桂林府,全州,"111.073278,25.929057",111.073278,25.929057
1883,3,47,李务滋,广西,桂林府,临桂县,"110.291601,25.274914",110.291601,25.274914
1883,3,55,庞桂庭,广西,梧州府,容县,"110.557968,22.857856",110.557968,22.857856
1883,3,70,李秉瑞,广西,桂林府,临桂县,"110.291611,25.274924",110.291611,25.274924
1883,3,85,周绍刘,广西,桂林府,灵川县,"110.390279,25.466351",110.390279,25.466351
1883,3,89,谢济民,广西,浔州府,桂平县,"110.079534,23.394357",110.079534,23.394357
1883,3,105,周安,广西,桂林府,灵川县,"110.390289,25.466361",110.390289,25.466361
1883,3,120,黄玉忠,广西,梧州府,容县,"110.557978,22.857866",110.557978,22.857866
1883,3,138,吕佩瑀,广西,郁林州,陆川县,"110.264081,22.321003",110.264081,22.321003
1883,3,156,唐枝中,广西,平乐府,平乐县,"110.643455,24.633512",110.643455,24.633512
1886,2,8,谢元麒,广西,桂林府,临桂县,"110.291621,25.274934",110.291621,25.274934
1886,2,74,党庆奎,广西,郁林州,北流县,"110.354460,22.708356",110.35446,22.708356
1886,2,103,杨文春,广西,梧州府,苍梧县,"111.320695,23.473259",111.320695,23.473259
1886,2,129,凌芬,广西,桂林府,临桂县,"110.291631,25.274944",110.291631,25.274944
1886,3,9,杨森,广西,浔州府,桂平县,"110.079544,23.394367",110.079544,23.394367
1886,3,21,陈时中,广西,梧州府,容县,"110.557988,22.857876",110.557988,22.857876
1886,3,38,唐则璲,广西,桂林府,临桂县,"110.291641,25.274954",110.291641,25.274954
1886,3,69,金鹏,广西,桂林府,临桂县,"110.291651,25.274964",110.291651,25.274964
1886,3,122,胡裔麟,广西,梧州府,苍梧县,"111.320705,23.473269",111.320705,23.473269
1886,3,156,王秉箓,广西,柳州府,融县,"109.256290,25.065993",109.25629,25.065993
1886,3,163,唐国珍,广西,桂林府,灵川县,"110.390299,25.466371",110.390299,25.466371
1889,1,1,张建勋,广西,桂林府,临桂县,"110.291661,25.274974",110.291661,25.274974
1889,2,58,张其镃,广西,桂林府,临桂县,"110.291671,25.274984",110.291671,25.274984
1889,2,60,曹树藩,广西,桂林府,临桂县,"110.291681,25.274994",110.291681,25.274994
1889,3,22,黄榜书,广西,浔州府,桂平县,"110.079554,23.394377",110.079554,23.394377
1889,3,52,郭以诚,广西,桂林府,临桂县,"110.291691,25.275004",110.291691,25.275004
1889,3,57,周秉道,广西,浔州府,桂平县,"110.079564,23.394387",110.079564,23.394387
1889,3,68,黄炳辰,广西,桂林府,临桂县,"110.291701,25.275014",110.291701,25.275014
1889,3,72,李光卓,广西,桂林府,永福县,"109.983166,24.979784",109.983166,24.979784
1889,3,73,汤汝和,广西,桂林府,灵川县,"110.390309,25.466381",110.390309,25.466381
1889,3,98,彭献寿,广西,庆远府,宜山县,"108.636625,24.485261",108.636625,24.485261
1889,3,152,曾思睿,广西,平乐府,平乐县,"110.643465,24.633522",110.643465,24.633522
1890,2,19,王敩成,广西,梧州府,藤县,"110.914653,23.374533",110.914653,23.374533
1890,2,24,许晋祁,广西,桂林府,临桂县,"110.291711,25.275024",110.291711,25.275024
1890,2,45,关榕祚,广西,桂林府,临桂县,"110.291721,25.275034",110.291721,25.275034
1890,2,80,李骥年,广西,桂林府,永福县,"109.983176,24.979794",109.983176,24.979794
1890,2,82,李孝先,广西,平乐府,贺县,"111.661177,24.328912",111.661177,24.328912
1890,3,20,植尧兰,广西,梧州府,怀集县,"112.184535,23.911903",112.184535,23.911903
1890,3,50,罗栋材,广西,梧州府,苍梧县,"111.320715,23.473279",111.320715,23.473279
1890,3,57,陆辅清,广西,桂林府,灌阳县,"111.160861,25.489472",111.160861,25.489472
1890,3,105,钟德瑞,广西,南宁府,宣化县,"108.365771,22.817781",108.365771,22.817781
1890,3,114,黄国琦,广西,南宁府,宣化县,"108.365781,22.817791",108.365781,22.817791
1890,3,119,苏岱,广西,桂林府,灵川县,"110.390319,25.466391",110.390319,25.466391
1890,3,148,侯绍宣,广西,桂林府,永福县,"109.983186,24.979804",109.983186,24.979804
1890,3,178,姚钟璜,广西,浔州府,桂平县,"110.079574,23.394397",110.079574,23.394397
1890,3,181,黄天怀,广西,镇安府,奉议州,"106.886710,23.717410",106.88671,23.71741
1892,1,1,刘福姚,广西,桂林府,临桂县,"110.291731,25.275044",110.291731,25.275044
1892,2,20,赖鹤年,广西,浔州府,桂平县,"110.079584,23.394407",110.079584,23.394407
1892,2,40,范家祚,广西,桂林府,临桂县,"110.291741,25.275054",110.291741,25.275054
1892,3,3,冯舜生,广西,浔州府,桂平县,"110.079594,23.394417",110.079594,23.394417
1892,3,24,王家骥,广西,桂林府,临桂县,"110.291751,25.275064",110.291751,25.275064
1892,3,47,陈福荫,广西,桂林府,临桂县,"110.291761,25.275074",110.291761,25.275074
1892,3,68,吕森,广西,桂林府,临桂县,"110.291771,25.275084",110.291771,25.275084
1892,3,146,阳顗,广西,桂林府,临桂县,"110.291781,25.275094",110.291781,25.275094
1892,3,157,秦士麟,广西,桂林府,临桂县,"110.291791,25.275104",110.291791,25.275104
1892,3,179,周培懋,广西,南宁府,宣化县,"108.365791,22.817801",108.365791,22.817801
1894,2,31,关冕钧,广西,梧州府,苍梧县,"111.320725,23.473289",111.320725,23.473289
1894,2,74,周绍昌,广西,桂林府,灵川县,"110.390329,25.466401",110.390329,25.466401
1894,2,98,冯锡瓌,广西,梧州府,岑溪县,"110.994953,22.918390",110.994953,22.91839
1894,2,127,麦玉华,广西,梧州府,容县,"110.557998,22.857886",110.557998,22.857886
1894,3,11,谢崇厚,广西,南宁府,宣化县,"108.365801,22.817811",108.365801,22.817811
1894,3,26,赵润生,广西,桂林府,全州,"111.073288,25.929067",111.073288,25.929067
1894,3,32,莫如晋,广西,桂林府,阳朔县,"110.496613,24.778501",110.496613,24.778501
1894,3,50,黎元熙,广西,桂林府,灵川县,"110.390339,25.466411",110.390339,25.466411
1894,3,65,彭希祖,广西,平乐府,兴业县,"109.875723,22.741748",109.875723,22.741748
1894,3,85,李良年,广西,桂林府,永福县,"109.983196,24.979814",109.983196,24.979814
1894,3,88,朱宝翰,广西,浔州府,平南县,"110.392229,23.539217",110.392229,23.539217
1894,3,103,祁永膺,广西,平乐府,博白县,"109.976002,22.272962",109.976002,22.272962
1894,3,109,茹震模,广西,梧州府,苍梧县,"111.320735,23.473299",111.320735,23.473299
1894,3,131,陈仕扬,广西,平乐府,北流县,"110.354470,22.708366",110.35447,22.708366
1894,3,179,郑揆一,广西,桂林府,临桂县,"110.291801,25.275114",110.291801,25.275114
1895,2,11,赵炳麟,广西,桂林府,全州,"111.073298,25.929077",111.073298,25.929077
1895,2,27,朱永观,广西,南宁府,横州,"109.261429,22.680113",109.261429,22.680113
1895,2,47,李国材,广西,浔州府,平南县,"110.392239,23.539227",110.392239,23.539227
1895,2,70,刘明华,广西,郁林府,博白县,"109.976012,22.272972",109.976012,22.272972
1895,3,1,文同书,广西,桂林府,灵川县,"110.390349,25.466421",110.390349,25.466421
1895,3,11,江蕴琛,广西,柳州府,融县,"109.256300,25.066003",109.2563,25.066003
1895,3,59,朱远绶,广西,桂林府,临桂县,"110.291811,25.275124",110.291811,25.275124
1895,3,90,朱远缮,广西,桂林府,临桂县,"110.291821,25.275134",110.291821,25.275134
1895,3,105,韦锦恩,广西,镇安府,奉议州,"106.886720,23.717420",106.88672,23.71742
1895,3,137,秦献祥,广西,桂林府,永福县,"109.983206,24.979824",109.983206,24.979824
1898,2,36,于式棱,广西,平乐府,贺县,"111.661187,24.328922",111.661187,24.328922
1898,2,56,崔肇琳,广西,浔州府,桂平县,"110.079604,23.394427",110.079604,23.394427
1898,2,61,区家伟,广西,梧州府,苍梧县,"111.320745,23.473309",111.320745,23.473309
1898,2,116,陈启棠,广西,郁林州,北流县,"110.354480,22.708376",110.35448,22.708376
1898,2,131,王希贤,广西,桂林府,临桂县,"110.291831,25.275144",110.291831,25.275144
1898,3,3,陈智伟,广西,桂林府,临桂县,"110.291841,25.275154",110.291841,25.275154
1898,3,34,范晋藩,广西,郁林州,陆川县,"110.264091,22.321013",110.264091,22.321013
1898,3,60,龙焕纶,广西,桂林府,临桂县,"110.291851,25.275164",110.291851,25.275164
1898,3,64,唐樾森,广西,南宁府,宣化县,"108.365811,22.817821",108.365811,22.817821
1898,3,80,韦朝冕,广西,南宁府,宣化县,"108.365821,22.817831",108.365821,22.817831
1898,3,148,黎效松,广西,梧州府,藤县,"110.914663,23.374543",110.914663,23.374543
1903,2,57,赖瑾,广西,泽州府,桂平县,"110.079614,23.394437",110.079614,23.394437
1903,2,82,朱德垣,广西,桂林府,临桂县,"110.291861,25.275174",110.291861,25.275174
1903,2,84,陈树勋,广西,梧州府,岑溪县,"110.994963,22.918400",110.994963,22.9184
1903,2,102,廖振榘,广西,平乐府,平乐县,"110.643475,24.633532",110.643475,24.633532
1903,3,36,邓荣辅,广西,桂林府,临桂县,"110.291871,25.275184",110.291871,25.275184
1903,3,49,高嘉仁,广西,梧州府,苍梧县,"111.320755,23.473319",111.320755,23.473319
1903,3,51,唐树彤,广西,桂林府,临桂县,"110.291881,25.275194",110.291881,25.275194
1903,3,85,张书云,广西,桂林府,临桂县,"110.291891,25.275204",110.291891,25.275204
1903,3,122,吕浚堃,广西,郁林州,陆川县,"110.264101,22.321023",110.264101,22.321023
1903,3,150,马骏昌,广西,桂林府,临桂县,"110.291901,25.275214",110.291901,25.275214
1903,3,156,李文诏,广西,梧州府,岑溪县,"110.994973,22.918410",110.994973,22.91841
1904,2,2,林世焘,广西,平乐府,贺县,"111.661197,24.328932",111.661197,24.328932
1904,2,31,谢启中,广西,桂林府,临桂县,"110.291911,25.275224",110.291911,25.275224
1904,2,44,唐尚光,广西,桂林府,全州,"111.073308,25.929087",111.073308,25.929087
1904,2,89,钟刚中,广西,南宁府,宣化县,"108.365831,22.817841",108.365831,22.817841
1904,2,103,何振清,广西,平乐府,贺县,"111.661207,24.328942",111.661207,24.328942
1904,2,118,张其锽,广西,桂林府,临桂县,"110.291921,25.275234",110.291921,25.275234
1904,3,7,陈敉功,广西,桂林府,临桂县,"110.291931,25.275244",110.291931,25.275244
1904,3,53,吴兆梅,广西,桂林府,兴安县,"110.671721,25.611649",110.671721,25.611649
1904,3,97,周安康,广西,桂林府,临桂县,"110.291941,25.275254",110.291941,25.275254
1904,3,112,徐培,广西,桂林府,临桂县,"110.291951,25.275264",110.291951,25.275264
1904,3,121,陈金华,广西,桂林府,永福县,"109.983216,24.979834",109.983216,24.979834
1904,3,125,李寿祺,广西,郁林州,北流县,"110.354490,22.708386",110.35449,22.708386
